Timestamp,What is your current academic level?,What is your primary source of funding for your studies and living expenses?,What is your approximate monthly income/financial support? (in LKR),How much do you spend on TRANSPORTATION per month? (in LKR),Rate your comfort level with your current financial situation.,How would you rate the affordability of the following expenses in your area? [Accommodation (Rent/Housing)],How would you rate the affordability of the following expenses in your area? [Groceries/Food],"How would you rate the affordability of the following expenses in your area? [Course Materials (Books, supplies)]",How would you rate the affordability of the following expenses in your area? [Transportation],How would you rate the affordability of the following expenses in your area? [Social/Leisure Activities],In which areas do you wish you had more financial assistance or resources?,Approximately how many hours per week do you spend working (paid job)?,Please provide any additional comments on your student budget or financial challenges.
10/11/2025 11:03:13,Undergraduate,"Scholarship/Grants, Part-time Job, Other (e.g., Freelancing)","LKR 25,001 - 35,000",8484,3,Very Affordable,Very Unaffordable,Neutral,Very Unaffordable,Very Unaffordable,"Career Development Workshops, Accommodation, Tuition Fees",6-10 hours,I need to work more to cover rent.
24/11/2025 06:30:16,Postgraduate,"Parental/Family Support, Part-time Job, Student Loans","LKR 35,001 - 50,000",3247,1,Very Affordable,Affordable,Affordable,Neutral,Very Unaffordable,Career Development Workshops,More than 20 hours,
17/11/2025 11:46:19,Postgraduate,"Savings, Part-time Job, Parental/Family Support","More than LKR 75,000",22059,4,Very Affordable,Very Affordable,Affordable,Very Unaffordable,Neutral,Emergency Funding,6-10 hours,Financial stress is very high this semester.
19/11/2025 03:32:50,Undergraduate,"Student Loans, Savings","LKR 25,001 - 35,000",3463,1,Very Affordable,Very Unaffordable,Unaffordable,Affordable,Very Unaffordable,"None of the above, Mental Health Services",More than 20 hours,
04/11/2025 23:05:22,Postgraduate,Scholarship/Grants,"Less than LKR 15,000",253,5,Very Affordable,Unaffordable,Very Unaffordable,Unaffordable,Very Unaffordable,"Accommodation, None of the above, Emergency Funding",16-20 hours,Financial stress is very high this semester.
11/11/2025 19:49:16,Undergraduate,"Other (e.g., Freelancing), Savings, Parental/Family Support",Prefer not to say,1770,1,Neutral,Affordable,Neutral,Very Unaffordable,Neutral,"None of the above, Mental Health Services",1-5 hours,
15/11/2025 18:49:30,Postgraduate,Part-time Job,"Less than LKR 15,000",728,5,Unaffordable,Very Unaffordable,Unaffordable,Affordable,Affordable,"Emergency Funding, Groceries/Food, Mental Health Services",0 hours,Financial stress is very high this semester.
09/11/2025 19:29:17,Postgraduate,"Other (e.g., Freelancing), Parental/Family Support","LKR 25,001 - 35,000",9524,3,Unaffordable,Very Unaffordable,Affordable,Unaffordable,Affordable,Career Development Workshops,11-15 hours,
20/11/2025 08:29:05,Postgraduate,Scholarship/Grants,"Less than LKR 15,000",272,4,Unaffordable,Neutral,Very Affordable,Affordable,Affordable,"Emergency Funding, Accommodation, Tuition Fees",6-10 hours,Scholarship funds are delayed.
04/11/2025 18:53:58,Postgraduate,"Part-time Job, Scholarship/Grants, Student Loans","LKR 50,001 - 75,000",23815,2,Very Unaffordable,Very Unaffordable,Very Unaffordable,Unaffordable,Neutral,Tuition Fees,0 hours,
04/11/2025 09:59:25,Undergraduate,"Scholarship/Grants, Part-time Job, Other (e.g., Freelancing)","LKR 50,001 - 75,000",15528,2,Very Unaffordable,Unaffordable,Affordable,Unaffordable,Affordable,Career Development Workshops,More than 20 hours,Financial stress is very high this semester.
01/11/2025 22:33:01,Undergraduate,"Scholarship/Grants, Savings","LKR 50,001 - 75,000",9896,4,Unaffordable,Neutral,Neutral,Very Affordable,Affordable,"Groceries/Food, Mental Health Services, Career Development Workshops",11-15 hours,Scholarship funds are delayed.
31/10/2025 11:03:43,Undergraduate,"Savings, Student Loans, Parental/Family Support",Prefer not to say,2456,5,Unaffordable,Neutral,Unaffordable,Neutral,Very Affordable,"Accommodation, Mental Health Services, Career Development Workshops",More than 20 hours,I need to work more to cover rent.
07/11/2025 19:27:34,Undergraduate,Parental/Family Support,"LKR 15,001 - 25,000",1357,2,Neutral,Affordable,Unaffordable,Affordable,Affordable,"Groceries/Food, Tuition Fees",11-15 hours,Financial stress is very high this semester.
13/11/2025 18:41:32,Undergraduate,"Parental/Family Support, Part-time Job, Scholarship/Grants","LKR 25,001 - 35,000",8228,1,Affordable,Unaffordable,Very Affordable,Very Unaffordable,Neutral,"None of the above, Accommodation, Groceries/Food",6-10 hours,I need to work more to cover rent.
15/11/2025 16:19:57,Undergraduate,"Other (e.g., Freelancing)",Prefer not to say,9415,3,Neutral,Affordable,Affordable,Very Unaffordable,Neutral,"Groceries/Food, Tuition Fees",0 hours,
30/10/2025 00:36:15,Undergraduate,"Student Loans, Parental/Family Support","LKR 25,001 - 35,000",1627,4,Unaffordable,Neutral,Unaffordable,Unaffordable,Very Unaffordable,"Emergency Funding, Tuition Fees",16-20 hours,Financial stress is very high this semester.
12/11/2025 20:01:07,Postgraduate,"Scholarship/Grants, Savings",Prefer not to say,7881,2,Affordable,Affordable,Affordable,Very Unaffordable,Very Affordable,"Mental Health Services, Career Development Workshops",16-20 hours,Financial stress is very high this semester.
11/11/2025 16:33:50,Undergraduate,"Parental/Family Support, Part-time Job, Scholarship/Grants","LKR 50,001 - 75,000",15370,2,Affordable,Affordable,Affordable,Very Affordable,Very Unaffordable,Mental Health Services,11-15 hours,
02/11/2025 05:36:40,Undergraduate,"Student Loans, Scholarship/Grants, Parental/Family Support","More than LKR 75,000",27815,3,Affordable,Affordable,Very Affordable,Affordable,Affordable,"Career Development Workshops, Mental Health Services, Groceries/Food",More than 20 hours,
17/11/2025 12:23:03,Postgraduate,Part-time Job,Prefer not to say,4447,1,Affordable,Unaffordable,Neutral,Very Unaffordable,Very Affordable,"Tuition Fees, Accommodation, Career Development Workshops",11-15 hours,
10/11/2025 11:40:44,Undergraduate,"Student Loans, Part-time Job","More than LKR 75,000",14289,1,Neutral,Affordable,Neutral,Affordable,Neutral,None of the above,More than 20 hours,
03/11/2025 09:56:22,Postgraduate,"Part-time Job, Parental/Family Support, Student Loans","LKR 50,001 - 75,000",12403,2,Neutral,Very Unaffordable,Very Affordable,Very Unaffordable,Affordable,"Tuition Fees, Accommodation",16-20 hours,I need to work more to cover rent.
01/11/2025 18:27:26,Undergraduate,"Savings, Scholarship/Grants, Part-time Job","LKR 25,001 - 35,000",3158,2,Very Affordable,Affordable,Neutral,Very Unaffordable,Affordable,"Groceries/Food, Accommodation",0 hours,
30/10/2025 03:34:18,Postgraduate,"Scholarship/Grants, Savings, Part-time Job","LKR 25,001 - 35,000",4690,1,Very Affordable,Unaffordable,Unaffordable,Neutral,Neutral,"None of the above, Career Development Workshops",More than 20 hours,
25/10/2025 19:13:55,Postgraduate,"Savings, Part-time Job, Scholarship/Grants","More than LKR 75,000",20719,3,Affordable,Neutral,Neutral,Affordable,Unaffordable,"Emergency Funding, Groceries/Food",More than 20 hours,The country sucks
05/11/2025 07:13:12,Postgraduate,"Part-time Job, Other (e.g., Freelancing)","LKR 35,001 - 50,000",1245,2,Unaffordable,Very Unaffordable,Affordable,Affordable,Affordable,Mental Health Services,6-10 hours,
19/11/2025 18:13:25,Undergraduate,"Part-time Job, Student Loans, Parental/Family Support",Prefer not to say,1667,1,Affordable,Very Affordable,Neutral,Affordable,Affordable,"Tuition Fees, Career Development Workshops",11-15 hours,I need to work more to cover rent.
09/11/2025 17:48:37,Postgraduate,"Savings, Student Loans","LKR 25,001 - 35,000",3597,4,Very Unaffordable,Very Unaffordable,Neutral,Very Affordable,Unaffordable,"Career Development Workshops, Groceries/Food",More than 20 hours,Financial stress is very high this semester.
30/10/2025 13:27:34,Postgraduate,"Savings, Scholarship/Grants","LKR 25,001 - 35,000",5965,2,Unaffordable,Very Affordable,Very Affordable,Affordable,Unaffordable,"Tuition Fees, Accommodation, Groceries/Food",11-15 hours,Financial stress is very high this semester.
10/11/2025 12:22:07,Postgraduate,"Parental/Family Support, Part-time Job, Other (e.g., Freelancing)","LKR 25,001 - 35,000",3786,5,Unaffordable,Unaffordable,Very Unaffordable,Unaffordable,Very Affordable,None of the above,16-20 hours,
02/11/2025 08:59:13,Undergraduate,"Scholarship/Grants, Parental/Family Support, Savings","LKR 25,001 - 35,000",5948,4,Neutral,Very Unaffordable,Very Affordable,Affordable,Neutral,Accommodation,1-5 hours,Scholarship funds are delayed.
17/11/2025 21:14:01,Undergraduate,"Scholarship/Grants, Student Loans, Part-time Job","LKR 50,001 - 75,000",7183,3,Very Unaffordable,Affordable,Affordable,Very Affordable,Affordable,"Emergency Funding, Career Development Workshops",0 hours,Scholarship funds are delayed.
13/11/2025 01:54:37,Undergraduate,"Scholarship/Grants, Student Loans, Other (e.g., Freelancing)",Prefer not to say,4091,4,Unaffordable,Affordable,Unaffordable,Neutral,Neutral,Accommodation,11-15 hours,The country sucks
23/11/2025 11:14:51,Postgraduate,"Student Loans, Scholarship/Grants","Less than LKR 15,000",432,1,Very Unaffordable,Very Affordable,Affordable,Very Affordable,Neutral,Accommodation,6-10 hours,
13/11/2025 10:36:50,Undergraduate,"Parental/Family Support, Part-time Job","LKR 50,001 - 75,000",24579,3,Neutral,Very Unaffordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,"Career Development Workshops, Groceries/Food, None of the above",11-15 hours,
22/11/2025 14:04:44,Postgraduate,Savings,"LKR 25,001 - 35,000",7980,5,Neutral,Very Unaffordable,Very Affordable,Affordable,Neutral,"Emergency Funding, Tuition Fees",11-15 hours,The country sucks
22/11/2025 08:04:49,Postgraduate,Scholarship/Grants,"More than LKR 75,000",29263,4,Neutral,Affordable,Unaffordable,Very Affordable,Unaffordable,"Tuition Fees, None of the above, Career Development Workshops",11-15 hours,
21/11/2025 04:58:22,Undergraduate,"Other (e.g., Freelancing), Savings","Less than LKR 15,000",554,5,Very Unaffordable,Neutral,Unaffordable,Very Unaffordable,Very Unaffordable,Emergency Funding,11-15 hours,
23/11/2025 20:59:06,Postgraduate,"Student Loans, Other (e.g., Freelancing), Part-time Job","LKR 50,001 - 75,000",13338,3,Unaffordable,Very Unaffordable,Very Unaffordable,Neutral,Very Affordable,"Mental Health Services, None of the above",16-20 hours,
24/11/2025 05:40:30,Undergraduate,Scholarship/Grants,Prefer not to say,8400,4,Affordable,Unaffordable,Very Unaffordable,Very Unaffordable,Affordable,Groceries/Food,1-5 hours,
01/11/2025 07:44:46,Undergraduate,Scholarship/Grants,"LKR 50,001 - 75,000",14181,2,Very Affordable,Very Affordable,Affordable,Unaffordable,Very Unaffordable,"Mental Health Services, Groceries/Food, Accommodation",1-5 hours,Scholarship funds are delayed.
04/11/2025 23:24:30,Undergraduate,Scholarship/Grants,"Less than LKR 15,000",474,3,Very Affordable,Very Affordable,Neutral,Affordable,Neutral,"Career Development Workshops, Groceries/Food",0 hours,Scholarship funds are delayed.
04/11/2025 17:58:47,Undergraduate,"Scholarship/Grants, Savings","LKR 25,001 - 35,000",6415,3,Neutral,Unaffordable,Very Unaffordable,Unaffordable,Neutral,Tuition Fees,1-5 hours,Scholarship funds are delayed.
21/11/2025 20:54:30,Postgraduate,Parental/Family Support,"LKR 15,001 - 25,000",1159,5,Unaffordable,Very Affordable,Very Unaffordable,Neutral,Affordable,Tuition Fees,16-20 hours,Financial stress is very high this semester.
08/11/2025 05:01:45,Postgraduate,"Scholarship/Grants, Parental/Family Support, Student Loans","LKR 15,001 - 25,000",6003,4,Very Unaffordable,Neutral,Neutral,Neutral,Neutral,"Mental Health Services, Emergency Funding",16-20 hours,I need to work more to cover rent.
21/11/2025 10:23:59,Undergraduate,"Part-time Job, Savings, Student Loans","LKR 25,001 - 35,000",7891,2,Neutral,Unaffordable,Very Unaffordable,Unaffordable,Unaffordable,"Career Development Workshops, Groceries/Food",11-15 hours,
29/10/2025 15:14:24,Postgraduate,"Student Loans, Scholarship/Grants, Parental/Family Support","LKR 15,001 - 25,000",1550,2,Very Affordable,Very Affordable,Very Affordable,Unaffordable,Unaffordable,Mental Health Services,16-20 hours,The country sucks
01/11/2025 07:23:19,Undergraduate,"Parental/Family Support, Scholarship/Grants, Savings","LKR 50,001 - 75,000",10134,1,Very Unaffordable,Very Affordable,Very Unaffordable,Affordable,Very Affordable,"Accommodation, Mental Health Services, Emergency Funding",More than 20 hours,I need to work more to cover rent.
08/11/2025 14:33:29,Undergraduate,"Parental/Family Support, Other (e.g., Freelancing)","LKR 15,001 - 25,000",5901,5,Neutral,Neutral,Very Unaffordable,Affordable,Unaffordable,"Accommodation, Emergency Funding",0 hours,
08/11/2025 15:36:34,Postgraduate,"Scholarship/Grants, Part-time Job, Parental/Family Support","LKR 25,001 - 35,000",8905,4,Neutral,Affordable,Very Affordable,Very Unaffordable,Very Unaffordable,Groceries/Food,0 hours,Financial stress is very high this semester.
22/11/2025 09:30:57,Postgraduate,"Savings, Student Loans, Scholarship/Grants","More than LKR 75,000",23745,2,Neutral,Affordable,Affordable,Unaffordable,Very Unaffordable,"Accommodation, Tuition Fees, None of the above",6-10 hours,Scholarship funds are delayed.
01/11/2025 14:14:52,Postgraduate,"Scholarship/Grants, Other (e.g., Freelancing), Part-time Job",Prefer not to say,9688,3,Unaffordable,Unaffordable,Affordable,Affordable,Affordable,"Accommodation, None of the above, Career Development Workshops",1-5 hours,Financial stress is very high this semester.
27/10/2025 14:53:56,Undergraduate,Part-time Job,"LKR 15,001 - 25,000",3027,3,Affordable,Unaffordable,Very Unaffordable,Very Unaffordable,Very Affordable,None of the above,11-15 hours,I need to work more to cover rent.
08/11/2025 04:49:08,Postgraduate,"Student Loans, Savings, Parental/Family Support","Less than LKR 15,000",660,4,Affordable,Very Unaffordable,Very Unaffordable,Very Affordable,Neutral,Accommodation,16-20 hours,
15/11/2025 08:15:08,Undergraduate,"Other (e.g., Freelancing)","LKR 15,001 - 25,000",7063,2,Neutral,Very Unaffordable,Unaffordable,Affordable,Very Affordable,"Emergency Funding, Accommodation",0 hours,The country sucks
06/11/2025 04:55:20,Undergraduate,"Part-time Job, Other (e.g., Freelancing), Student Loans","LKR 25,001 - 35,000",7646,5,Affordable,Affordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,"Mental Health Services, Groceries/Food",1-5 hours,
15/11/2025 14:52:52,Undergraduate,Parental/Family Support,"LKR 15,001 - 25,000",8118,5,Unaffordable,Affordable,Unaffordable,Very Unaffordable,Very Unaffordable,"Groceries/Food, Career Development Workshops, Tuition Fees",16-20 hours,
10/11/2025 13:28:46,Postgraduate,"Savings, Student Loans","LKR 50,001 - 75,000",13633,2,Neutral,Affordable,Very Unaffordable,Affordable,Neutral,"None of the above, Emergency Funding, Career Development Workshops",0 hours,Scholarship funds are delayed.
28/10/2025 20:06:17,Postgraduate,"Scholarship/Grants, Savings","LKR 50,001 - 75,000",16536,3,Affordable,Unaffordable,Unaffordable,Unaffordable,Neutral,"Tuition Fees, Mental Health Services, Emergency Funding",0 hours,The country sucks
23/11/2025 23:08:14,Undergraduate,"Part-time Job, Student Loans, Scholarship/Grants","LKR 25,001 - 35,000",6064,5,Very Unaffordable,Affordable,Very Affordable,Affordable,Affordable,"Accommodation, None of the above, Emergency Funding",6-10 hours,Financial stress is very high this semester.
14/11/2025 17:52:42,Postgraduate,Scholarship/Grants,"LKR 25,001 - 35,000",7564,4,Unaffordable,Neutral,Affordable,Affordable,Affordable,"Mental Health Services, Career Development Workshops, Accommodation",0 hours,Financial stress is very high this semester.
20/11/2025 09:39:21,Undergraduate,"Student Loans, Other (e.g., Freelancing), Savings","Less than LKR 15,000",203,5,Very Affordable,Affordable,Very Unaffordable,Unaffordable,Affordable,"Emergency Funding, Mental Health Services",1-5 hours,
26/10/2025 20:55:07,Undergraduate,Student Loans,"Less than LKR 15,000",295,2,Very Unaffordable,Unaffordable,Unaffordable,Unaffordable,Very Unaffordable,"Accommodation, Groceries/Food",More than 20 hours,
03/11/2025 20:32:08,Undergraduate,"Part-time Job, Parental/Family Support","Less than LKR 15,000",946,4,Unaffordable,Very Affordable,Unaffordable,Unaffordable,Very Affordable,"Mental Health Services, Tuition Fees",0 hours,The country sucks
25/10/2025 20:44:46,Postgraduate,Student Loans,"LKR 25,001 - 35,000",7157,5,Very Affordable,Unaffordable,Very Unaffordable,Unaffordable,Unaffordable,"Emergency Funding, Groceries/Food",6-10 hours,Scholarship funds are delayed.
05/11/2025 10:03:10,Postgraduate,"Other (e.g., Freelancing), Savings, Part-time Job","LKR 25,001 - 35,000",9684,2,Very Affordable,Very Affordable,Unaffordable,Very Affordable,Very Unaffordable,Groceries/Food,11-15 hours,The country sucks
30/10/2025 13:08:06,Postgraduate,"Student Loans, Parental/Family Support, Scholarship/Grants","More than LKR 75,000",7987,5,Unaffordable,Unaffordable,Very Unaffordable,Neutral,Very Unaffordable,Groceries/Food,6-10 hours,Financial stress is very high this semester.
10/11/2025 12:38:38,Postgraduate,"Other (e.g., Freelancing), Savings","LKR 35,001 - 50,000",1144,1,Neutral,Unaffordable,Very Unaffordable,Very Affordable,Very Affordable,"Emergency Funding, Tuition Fees, Mental Health Services",16-20 hours,
15/11/2025 17:37:11,Postgraduate,"Student Loans, Part-time Job, Scholarship/Grants","LKR 35,001 - 50,000",2540,2,Neutral,Neutral,Unaffordable,Very Unaffordable,Unaffordable,"Emergency Funding, Career Development Workshops",0 hours,
19/11/2025 14:50:39,Undergraduate,"Other (e.g., Freelancing)","Less than LKR 15,000",793,3,Unaffordable,Unaffordable,Unaffordable,Very Affordable,Very Affordable,"Groceries/Food, Career Development Workshops",6-10 hours,
21/11/2025 17:13:46,Undergraduate,"Savings, Parental/Family Support","More than LKR 75,000",10279,1,Affordable,Unaffordable,Unaffordable,Neutral,Affordable,"Tuition Fees, Groceries/Food",6-10 hours,
05/11/2025 19:23:54,Undergraduate,"Scholarship/Grants, Student Loans","LKR 15,001 - 25,000",2788,5,Very Affordable,Unaffordable,Unaffordable,Neutral,Very Unaffordable,"None of the above, Emergency Funding, Tuition Fees",More than 20 hours,I need to work more to cover rent.
19/11/2025 04:13:04,Postgraduate,Scholarship/Grants,"Less than LKR 15,000",94,2,Very Affordable,Very Affordable,Unaffordable,Affordable,Neutral,Emergency Funding,11-15 hours,
02/11/2025 10:13:25,Undergraduate,"Scholarship/Grants, Other (e.g., Freelancing), Student Loans","More than LKR 75,000",5526,2,Very Affordable,Neutral,Neutral,Neutral,Unaffordable,"Emergency Funding, Groceries/Food",16-20 hours,
18/11/2025 06:02:08,Postgraduate,"Part-time Job, Scholarship/Grants, Parental/Family Support","LKR 50,001 - 75,000",16487,1,Neutral,Very Unaffordable,Very Unaffordable,Very Affordable,Neutral,"Accommodation, None of the above, Mental Health Services",1-5 hours,
12/11/2025 08:37:17,Postgraduate,"Other (e.g., Freelancing)","LKR 35,001 - 50,000",8719,5,Very Unaffordable,Affordable,Unaffordable,Very Unaffordable,Neutral,"Accommodation, Emergency Funding, Tuition Fees",16-20 hours,
10/11/2025 01:42:37,Postgraduate,"Parental/Family Support, Student Loans, Savings","LKR 25,001 - 35,000",2519,1,Neutral,Neutral,Neutral,Very Unaffordable,Affordable,"Tuition Fees, Mental Health Services, Groceries/Food",11-15 hours,The country sucks
09/11/2025 15:27:34,Undergraduate,"Other (e.g., Freelancing), Student Loans","More than LKR 75,000",26538,3,Affordable,Unaffordable,Affordable,Affordable,Affordable,"Career Development Workshops, Tuition Fees",1-5 hours,
12/11/2025 22:06:33,Postgraduate,"Student Loans, Scholarship/Grants","LKR 25,001 - 35,000",4945,3,Neutral,Neutral,Very Affordable,Neutral,Affordable,Emergency Funding,More than 20 hours,
06/11/2025 23:59:18,Postgraduate,Part-time Job,"LKR 15,001 - 25,000",8652,3,Very Affordable,Affordable,Affordable,Neutral,Very Affordable,"Career Development Workshops, Emergency Funding",1-5 hours,Scholarship funds are delayed.
16/11/2025 07:26:16,Undergraduate,Scholarship/Grants,"LKR 15,001 - 25,000",5217,3,Neutral,Very Affordable,Unaffordable,Affordable,Very Unaffordable,"Groceries/Food, Accommodation, Tuition Fees",16-20 hours,The country sucks
30/10/2025 08:23:42,Undergraduate,Scholarship/Grants,"Less than LKR 15,000",827,1,Very Unaffordable,Unaffordable,Unaffordable,Affordable,Very Affordable,"Tuition Fees, None of the above",More than 20 hours,
27/10/2025 13:40:21,Undergraduate,"Scholarship/Grants, Student Loans","Less than LKR 15,000",255,1,Unaffordable,Very Unaffordable,Unaffordable,Neutral,Neutral,Groceries/Food,6-10 hours,
12/11/2025 04:35:48,Postgraduate,"Part-time Job, Parental/Family Support","Less than LKR 15,000",751,4,Very Unaffordable,Affordable,Very Affordable,Unaffordable,Neutral,"Accommodation, Mental Health Services, Career Development Workshops",0 hours,
10/11/2025 00:39:18,Undergraduate,"Savings, Student Loans, Scholarship/Grants","LKR 25,001 - 35,000",8747,2,Very Affordable,Very Unaffordable,Unaffordable,Neutral,Neutral,"Groceries/Food, Tuition Fees",6-10 hours,I need to work more to cover rent.
22/11/2025 22:44:33,Postgraduate,Parental/Family Support,"LKR 25,001 - 35,000",3943,4,Neutral,Very Unaffordable,Very Unaffordable,Very Unaffordable,Affordable,Groceries/Food,11-15 hours,The country sucks
04/11/2025 21:16:46,Undergraduate,"Student Loans, Scholarship/Grants","LKR 50,001 - 75,000",16115,1,Very Affordable,Neutral,Neutral,Unaffordable,Neutral,Accommodation,More than 20 hours,
09/11/2025 19:21:35,Undergraduate,Savings,"LKR 35,001 - 50,000",9768,1,Unaffordable,Very Affordable,Neutral,Very Unaffordable,Neutral,"Accommodation, Mental Health Services, Career Development Workshops",More than 20 hours,
02/11/2025 04:05:21,Undergraduate,"Parental/Family Support, Scholarship/Grants","LKR 15,001 - 25,000",4400,5,Unaffordable,Affordable,Neutral,Very Unaffordable,Affordable,Mental Health Services,0 hours,
16/11/2025 23:16:48,Undergraduate,"Student Loans, Part-time Job, Parental/Family Support","LKR 15,001 - 25,000",8202,1,Unaffordable,Very Affordable,Affordable,Very Unaffordable,Very Unaffordable,"Mental Health Services, Career Development Workshops",16-20 hours,
12/11/2025 17:17:29,Postgraduate,Savings,Prefer not to say,8112,5,Neutral,Neutral,Very Affordable,Unaffordable,Very Affordable,"Mental Health Services, None of the above",6-10 hours,I need to work more to cover rent.
06/11/2025 04:39:13,Postgraduate,Scholarship/Grants,"More than LKR 75,000",22870,5,Neutral,Affordable,Very Affordable,Neutral,Very Affordable,"Accommodation, None of the above",6-10 hours,
01/11/2025 06:44:05,Undergraduate,Student Loans,"Less than LKR 15,000",402,5,Unaffordable,Very Unaffordable,Affordable,Unaffordable,Affordable,None of the above,0 hours,
24/11/2025 02:02:33,Undergraduate,"Scholarship/Grants, Savings, Other (e.g., Freelancing)","LKR 35,001 - 50,000",6940,4,Very Unaffordable,Unaffordable,Unaffordable,Very Unaffordable,Very Unaffordable,Groceries/Food,1-5 hours,Scholarship funds are delayed.
27/10/2025 15:19:36,Undergraduate,"Savings, Student Loans, Other (e.g., Freelancing)","LKR 35,001 - 50,000",8248,5,Very Affordable,Affordable,Neutral,Unaffordable,Unaffordable,"Tuition Fees, None of the above, Groceries/Food",16-20 hours,
01/11/2025 01:09:54,Postgraduate,"Part-time Job, Parental/Family Support, Scholarship/Grants","More than LKR 75,000",15999,2,Affordable,Unaffordable,Affordable,Very Unaffordable,Unaffordable,"Mental Health Services, Tuition Fees, Groceries/Food",6-10 hours,I need to work more to cover rent.
05/11/2025 17:29:31,Postgraduate,"Other (e.g., Freelancing), Savings","LKR 15,001 - 25,000",4095,3,Very Affordable,Affordable,Unaffordable,Very Affordable,Neutral,"Career Development Workshops, Tuition Fees",16-20 hours,The country sucks
17/11/2025 04:01:18,Postgraduate,Parental/Family Support,"LKR 25,001 - 35,000",9111,4,Affordable,Very Affordable,Very Affordable,Neutral,Neutral,"Tuition Fees, Mental Health Services, Career Development Workshops",6-10 hours,
08/11/2025 11:43:36,Undergraduate,Savings,"More than LKR 75,000",18206,3,Neutral,Unaffordable,Affordable,Affordable,Affordable,"Accommodation, Mental Health Services",11-15 hours,I need to work more to cover rent.
01/11/2025 07:39:14,Undergraduate,"Part-time Job, Savings","LKR 25,001 - 35,000",6782,1,Affordable,Very Affordable,Neutral,Affordable,Very Affordable,"Accommodation, Groceries/Food, None of the above",More than 20 hours,Scholarship funds are delayed.
10/11/2025 23:52:03,Postgraduate,Student Loans,"LKR 50,001 - 75,000",19626,5,Unaffordable,Affordable,Very Unaffordable,Very Affordable,Unaffordable,"None of the above, Groceries/Food",6-10 hours,
05/11/2025 15:12:07,Undergraduate,"Student Loans, Parental/Family Support","More than LKR 75,000",6089,1,Very Unaffordable,Affordable,Very Affordable,Very Unaffordable,Affordable,"Tuition Fees, Emergency Funding, Groceries/Food",1-5 hours,
03/11/2025 22:09:26,Undergraduate,Parental/Family Support,"Less than LKR 15,000",849,5,Affordable,Affordable,Very Unaffordable,Neutral,Very Unaffordable,"Tuition Fees, Emergency Funding, Career Development Workshops",6-10 hours,The country sucks
18/11/2025 04:44:23,Postgraduate,Savings,"Less than LKR 15,000",502,3,Very Unaffordable,Very Affordable,Neutral,Very Unaffordable,Unaffordable,"Career Development Workshops, Emergency Funding, None of the above",More than 20 hours,
22/11/2025 11:01:01,Postgraduate,"Savings, Parental/Family Support","LKR 50,001 - 75,000",26238,5,Neutral,Very Unaffordable,Unaffordable,Unaffordable,Unaffordable,"None of the above, Emergency Funding",16-20 hours,Financial stress is very high this semester.
26/10/2025 21:05:02,Undergraduate,"Part-time Job, Other (e.g., Freelancing)","Less than LKR 15,000",689,3,Affordable,Neutral,Very Affordable,Unaffordable,Affordable,"Career Development Workshops, None of the above",16-20 hours,I need to work more to cover rent.
13/11/2025 09:49:21,Undergraduate,"Student Loans, Part-time Job","LKR 35,001 - 50,000",2234,4,Very Unaffordable,Neutral,Very Unaffordable,Unaffordable,Very Unaffordable,"Mental Health Services, Accommodation, Tuition Fees",0 hours,I need to work more to cover rent.
26/10/2025 22:14:14,Undergraduate,"Parental/Family Support, Other (e.g., Freelancing)","LKR 35,001 - 50,000",7524,3,Unaffordable,Neutral,Very Unaffordable,Unaffordable,Affordable,Accommodation,0 hours,Scholarship funds are delayed.
17/11/2025 18:22:50,Undergraduate,Student Loans,"LKR 50,001 - 75,000",8445,2,Very Unaffordable,Very Affordable,Affordable,Neutral,Neutral,Groceries/Food,11-15 hours,
08/11/2025 12:04:05,Postgraduate,"Parental/Family Support, Student Loans, Other (e.g., Freelancing)","LKR 15,001 - 25,000",4139,3,Very Affordable,Neutral,Very Unaffordable,Neutral,Unaffordable,Accommodation,6-10 hours,Financial stress is very high this semester.
17/11/2025 01:43:53,Postgraduate,"Student Loans, Other (e.g., Freelancing), Scholarship/Grants","LKR 50,001 - 75,000",14061,5,Affordable,Very Affordable,Very Affordable,Affordable,Very Unaffordable,"Accommodation, Mental Health Services, Tuition Fees",11-15 hours,
24/11/2025 01:28:50,Postgraduate,"Part-time Job, Other (e.g., Freelancing)","LKR 50,001 - 75,000",21898,2,Neutral,Very Affordable,Neutral,Affordable,Neutral,Tuition Fees,16-20 hours,
07/11/2025 13:47:16,Postgraduate,"Parental/Family Support, Savings, Scholarship/Grants","LKR 25,001 - 35,000",5873,3,Neutral,Very Affordable,Affordable,Unaffordable,Very Unaffordable,None of the above,11-15 hours,
29/10/2025 05:08:55,Undergraduate,Parental/Family Support,"LKR 15,001 - 25,000",7600,2,Neutral,Unaffordable,Very Affordable,Very Affordable,Unaffordable,"Career Development Workshops, Accommodation",16-20 hours,Scholarship funds are delayed.
04/11/2025 17:45:39,Postgraduate,"Parental/Family Support, Other (e.g., Freelancing), Savings","More than LKR 75,000",16852,5,Very Affordable,Very Affordable,Unaffordable,Neutral,Unaffordable,"Groceries/Food, Mental Health Services",More than 20 hours,
